Player,Team,RAPM,ORAPM,DRAPM,RAPM_SOURCE,PTS,MIN,GP
Taylor Hendricks,UTA,-3.03,-2.49,-0.53,EXTERNAL_JSON,5.1,14.5,13.0
Dalton Knecht,LAL,-2.68,-0.72,-1.96,EXTERNAL_JSON,6.4,15.1,20.0
Taurean Prince,MIL,-2.31,-0.87,-1.45,EXTERNAL_JSON,6.1,21.1,8.0
Thanasis Antetokounmpo,MIL,-1.51,-1.0,-0.51,EXTERNAL_JSON,1.8,2.5,10.0
Devin Carter,SAC,0.29,-0.32,0.61,EXTERNAL_JSON,3.6,9.5,9.0
Nicolas Batum,LAC,0.54,-0.17,0.71,EXTERNAL_JSON,4.5,19.7,25.0
Jonas Valanciunas,DEN,0.37,1.33,-0.97,EXTERNAL_JSON,,,
Pat Connaughton,CHA,-2.2,-1.3,-0.9,EXTERNAL_JSON,4.3,9.7,12.0
Scoot Henderson,POR,-2.63,-0.75,-1.88,EXTERNAL_JSON,,,
Buddy Hield,GSW,-2.97,-1.15,-1.82,EXTERNAL_JSON,8.0,18.8,25.0
Zach LaVine,SAC,-1.44,0.46,-1.91,EXTERNAL_JSON,20.6,33.6,22.0
Kobe Brown,LAC,-3.89,-2.23,-1.67,EXTERNAL_JSON,3.8,12.0,16.0
Saddiq Bey,NOP,-2.09,0.37,-2.45,EXTERNAL_JSON,14.3,29.3,25.0
Caris LeVert,DET,-0.46,0.22,-0.68,EXTERNAL_JSON,9.3,20.4,18.0
Emanuel Miller,CHI,-2.01,-1.14,-0.88,EXTERNAL_JSON,3.0,6.6,5.0
Asa Newell,ATL,-0.24,-0.59,0.35,EXTERNAL_JSON,4.6,8.5,15.0
Tim Hardaway Jr.,DEN,-0.5,0.94,-1.43,EXTERNAL_JSON,12.2,24.9,24.0
DeMar DeRozan,SAC,0.37,1.49,-1.12,EXTERNAL_JSON,17.7,32.6,25.0
Jamison Battle,TOR,-2.68,-1.44,-1.24,EXTERNAL_JSON,3.9,8.1,17.0
Gradey Dick,TOR,-2.84,-1.22,-1.63,EXTERNAL_JSON,6.3,15.8,26.0
Thomas Bryant,CLE,-2.26,-1.88,-0.39,EXTERNAL_JSON,3.3,7.8,18.0
Pat Spencer,GSW,0.53,-0.23,0.76,EXTERNAL_JSON,7.4,15.8,17.0
Nae'Qwan Tomlin,CLE,0.92,-0.54,1.46,EXTERNAL_JSON,7.2,17.0,16.0
Ziaire Williams,BKN,-3.57,-2.66,-0.91,EXTERNAL_JSON,9.6,22.9,20.0
Jeremiah Robinson-Earl,IND,-4.97,-1.72,-3.25,EXTERNAL_JSON,4.6,17.6,17.0
Seth Curry,GSW,-1.21,-0.81,-0.4,EXTERNAL_JSON,7.0,16.0,2.0
Dominick Barlow,PHI,-1.39,-1.68,0.29,EXTERNAL_JSON,7.9,26.3,14.0
Caleb Houstan,ATL,-3.03,-2.38,-0.65,EXTERNAL_JSON,2.5,5.4,8.0
Jaden Hardy,DAL,-3.53,-2.71,-0.83,EXTERNAL_JSON,6.0,10.5,20.0
Drew Eubanks,SAC,-2.93,-2.48,-0.45,EXTERNAL_JSON,5.3,14.4,25.0
Alexandre Sarr,WAS,-0.68,-1.43,0.75,EXTERNAL_JSON,,,
Brice Sensabaugh,UTA,-3.76,-0.61,-3.15,EXTERNAL_JSON,8.6,15.6,22.0
Trayce Jackson-Davis,GSW,-1.98,-0.85,-1.14,EXTERNAL_JSON,4.3,12.7,15.0
Kyshawn George,WAS,-2.23,-1.97,-0.26,EXTERNAL_JSON,15.2,31.5,20.0
Jonathan Kuminga,GSW,-1.67,-1.57,-0.1,EXTERNAL_JSON,12.4,25.6,17.0
Cole Anthony,MIL,-1.67,-0.96,-0.71,EXTERNAL_JSON,7.1,15.8,24.0
Bradley Beal,LAC,-2.42,-0.16,-2.26,EXTERNAL_JSON,8.2,20.2,6.0
David Jones,SAS,0.67,0.26,0.41,EXTERNAL_JSON,,,
Jabari Walker,PHI,-2.06,-1.05,-1.01,EXTERNAL_JSON,4.6,13.7,22.0
Leonard Miller,MIN,-0.63,-0.89,0.25,EXTERNAL_JSON,1.7,4.3,9.0
E.J. Liddell,BKN,-0.49,-0.23,-0.26,EXTERNAL_JSON,2.0,4.6,7.0
Spencer Jones,DEN,-0.9,-1.07,0.18,EXTERNAL_JSON,4.5,16.2,20.0
Tolu Smith,DET,-0.79,-0.57,-0.22,EXTERNAL_JSON,8.5,11.1,2.0
VJ Edgecombe,PHI,1.34,-0.03,1.37,EXTERNAL_JSON,14.4,34.6,20.0
Chris Livingston,CLE,-1.58,-1.76,0.19,EXTERNAL_JSON,3.0,5.8,3.0
Maxime Raynaud,SAC,-1.64,-0.77,-0.87,EXTERNAL_JSON,8.5,18.0,17.0
Brandon Miller,CHA,-2.54,-1.39,-1.15,EXTERNAL_JSON,16.4,26.1,8.0
Harrison Ingram,SAS,0.34,0.19,0.14,EXTERNAL_JSON,1.7,3.6,3.0
Russell Westbrook,SAC,-2.77,-1.17,-1.6,EXTERNAL_JSON,14.0,28.7,25.0
Ethan Thompson,IND,0.24,0.18,0.06,EXTERNAL_JSON,4.8,18.1,4.0
Jordan Poole,NOP,-3.19,-1.91,-1.29,EXTERNAL_JSON,17.9,29.8,8.0
Ben Sheppard,IND,-1.6,-0.28,-1.31,EXTERNAL_JSON,6.5,24.9,22.0
Ousmane Dieng,OKC,-1.21,-1.8,0.59,EXTERNAL_JSON,4.4,12.5,17.0
Cedric Coward,MEM,-0.04,-1.16,1.13,EXTERNAL_JSON,13.3,27.1,24.0
Maxi Kleber,LAL,0.15,-0.68,0.83,EXTERNAL_JSON,1.8,12.1,10.0
Doug McDermott,SAC,-2.21,0.11,-2.33,EXTERNAL_JSON,3.0,5.5,2.0
Jalen Wilson,BKN,-2.12,-0.93,-1.19,EXTERNAL_JSON,5.0,14.4,18.0
Walter Clayton Jr.,UTA,-0.35,0.82,-1.17,EXTERNAL_JSON,6.8,17.2,19.0
Tristan da Silva,ORL,-2.37,-1.91,-0.46,EXTERNAL_JSON,10.1,23.6,25.0
Cam Whitmore,WAS,-2.6,-0.63,-1.98,EXTERNAL_JSON,9.2,16.9,21.0
